step,reward_decomposition/total_token_score_sum_mean,reward_decomposition/search_reward_sum_mean,reward_decomposition/answer_reward_sum_mean,reward_decomposition/invalid_search_count_mean,reward_decomposition/search_mismatch_count_mean,reward_decomposition/malformed_action_count_mean,reward_decomposition/full_format_valid_mean,ppo_chain/token_level_scores_mean,ppo_chain/token_level_rewards_mean,ppo_chain/advantages_mean,actor/pg_loss,actor/ppo_kl,actor/entropy_loss,critic/vf_loss,critic/vf_explained_var,critic/kl,env/number_of_actions/mean,env/number_of_valid_search,env/finish_ratio,response_length/mean,response_length/clip_ratio,val/test_score/nq,val/test_score/hotpotqa
93,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.279,-0.03,0.014,0.962,0.044,0.815,0.21,3.0,0.0,0.0,466.0,0.5,,
94,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.294,-0.013,0.036,0.894,0.056,0.83,0.277,3.0,0.0,0.0,447.5,0.5,,
95,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.01,0.01,0.017,0.636,0.02,0.856,0.227,3.0,0.0,0.0,407.5,0.5,,
96,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.141,0.012,0.064,0.848,0.091,0.854,0.193,3.0,0.0,0.0,465.0,0.5,,
97,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.711,-0.003,0.045,0.852,0.038,0.848,0.172,3.0,0.0,0.0,441.5,0.5,,
98,-0.9,-0.4,0.0,0.5,,,,-0.002,-0.002,0.041,0.095,0.002,0.786,0.142,0.111,0.263,3.0,0.0,0.0,410.5,0.5,,
99,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.351,-0.002,0.021,0.851,0.171,0.808,0.241,3.0,0.0,0.0,454.0,0.5,,
100,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.001,-1.144,0.1,0.012,1.158,0.184,0.733,0.223,3.0,0.5,0.0,448.0,0.5,0.0,0.02
101,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.033,0.002,0.039,0.778,0.016,0.882,0.253,3.0,0.0,0.0,406.5,0.5,,
102,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.412,-0.014,-0.0,1.104,0.052,0.86,0.159,3.0,0.0,0.0,474.0,0.5,,
103,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.119,-0.006,0.002,0.641,0.014,0.874,0.315,3.0,0.0,0.0,370.5,0.5,,
104,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.107,0.007,0.027,0.697,0.046,0.846,0.161,3.0,0.0,0.0,498.0,0.5,,
105,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.204,0.022,0.038,0.828,0.049,0.848,0.302,3.0,0.0,0.0,448.5,0.5,,
106,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.011,-0.019,0.037,0.702,0.024,0.863,0.275,3.0,0.0,0.0,461.0,0.5,,
107,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.118,0.005,0.084,0.617,0.095,0.894,0.338,3.0,0.0,0.0,381.5,0.5,,
108,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.227,-0.009,0.036,1.007,0.05,0.9,0.353,3.0,0.0,0.0,446.0,0.5,,
109,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.059,-0.005,0.029,0.918,0.022,0.896,0.226,3.0,0.0,0.0,461.5,0.5,,
110,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.287,-0.056,-0.013,0.617,0.02,0.763,0.522,3.0,0.0,0.0,441.5,0.5,,
111,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.098,-0.067,0.037,0.504,0.008,0.766,0.723,3.0,0.0,0.0,339.0,0.5,,
112,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.323,-0.007,0.038,0.504,0.004,0.886,0.605,3.0,0.0,0.0,396.0,0.5,,
113,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.018,0.036,0.039,0.841,0.003,0.737,0.296,3.0,0.0,0.0,465.0,0.5,,
114,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.166,-0.013,0.014,0.616,0.021,0.886,0.433,3.0,0.0,0.0,408.5,0.5,,
115,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.333,-0.015,0.031,0.572,0.007,0.858,0.285,3.0,0.0,0.0,419.5,0.5,,
116,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.011,0.031,0.058,0.523,0.009,0.824,0.568,3.0,0.0,0.0,389.0,0.5,,
117,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.25,-0.008,0.037,0.672,0.012,0.916,0.494,3.0,0.0,0.0,409.5,0.5,,
118,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.259,-0.155,0.049,0.56,0.006,0.823,0.258,3.0,0.0,0.0,367.5,0.5,,
119,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.158,0.004,0.047,0.675,0.017,0.823,0.568,3.0,0.0,0.0,439.0,0.5,,
120,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.411,-0.024,0.012,0.481,0.046,0.757,0.545,3.0,0.0,0.0,399.5,0.5,,
121,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.241,0.035,0.042,0.932,0.047,0.777,0.398,3.0,0.0,0.0,414.0,0.5,,
122,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.062,0.011,0.169,0.79,0.02,0.889,0.401,3.0,0.0,0.0,436.0,0.5,,
123,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.247,0.022,0.2,0.632,0.095,0.689,0.365,3.0,0.0,0.0,363.5,0.5,,
124,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.798,0.082,0.155,0.674,0.051,0.859,0.466,3.0,0.0,0.0,356.0,0.5,,
125,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.03,0.048,0.023,0.839,0.012,0.9,0.258,3.0,0.0,0.0,497.0,0.5,,
126,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.365,0.003,0.001,0.815,0.013,0.865,0.595,3.0,0.0,0.0,409.5,0.5,,
127,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.048,0.002,-0.025,0.765,0.01,0.879,0.235,3.0,0.0,0.0,499.0,0.5,,
128,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.091,0.079,0.018,0.779,0.01,0.757,0.333,3.0,0.0,0.0,449.5,0.5,,
129,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.027,0.105,-0.056,0.703,0.003,0.854,0.478,3.0,0.0,0.0,438.0,0.5,,
130,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.001,-0.027,-0.047,0.66,0.003,0.897,0.344,3.0,0.0,0.0,458.0,0.5,,
131,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.01,0.01,-0.021,0.771,0.004,0.919,0.321,3.0,0.0,0.0,450.0,0.5,,
132,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.096,0.125,-0.041,0.722,0.01,0.791,0.504,3.0,0.0,0.0,405.5,0.5,,
133,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.074,0.042,0.006,0.781,0.002,0.834,0.324,3.0,0.0,0.0,472.0,0.5,,
134,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.393,0.07,0.004,0.664,0.032,0.878,0.627,3.0,0.0,0.0,367.0,0.5,,
135,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.095,0.019,0.015,0.426,0.009,0.672,0.294,3.0,0.0,0.0,365.5,0.5,,
136,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.124,0.02,0.02,0.738,0.024,0.884,0.435,3.0,0.0,0.0,441.5,0.5,,
137,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.111,-0.011,-0.002,1.035,0.029,0.872,0.421,3.0,0.0,0.0,423.0,0.5,,
138,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.01,0.007,0.004,0.769,0.003,0.896,0.375,3.0,0.0,0.0,489.0,0.5,,
139,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.011,-0.006,0.019,0.822,0.007,0.856,0.288,3.0,0.0,0.0,431.0,0.5,,
140,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.047,0.023,0.014,0.652,0.004,0.836,0.456,3.0,0.0,0.0,406.0,0.5,,
141,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.001,0.027,0.014,0.669,0.018,0.827,0.525,3.0,0.0,0.0,393.5,0.5,,
142,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.172,-0.022,-0.011,0.645,0.019,0.821,0.434,3.0,0.0,0.0,415.5,0.5,,
143,-0.175,-0.175,0.0,0.0,,,,-0.0,-0.001,-0.394,-0.158,0.032,0.814,0.096,0.123,0.333,2.5,0.0,0.5,377.0,0.5,,
144,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.522,-0.046,-0.011,0.76,0.03,0.772,0.274,3.0,0.0,0.0,404.5,0.5,,
145,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.009,0.006,0.001,0.834,0.009,0.776,0.335,3.0,0.0,0.0,477.5,0.5,,
146,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.054,0.016,-0.02,0.811,0.003,0.762,0.442,3.0,0.0,0.0,443.5,0.5,,
